Mat Object: (p_) 1 MPI process
  type: seqaij
row 0: (0, 1.15159)  (1, -0.427427)  (41, -0.444765)  (550, -0.279403) 
row 1: (0, -0.427427)  (1, 1.02056)  (2, -0.378672)  (30, -0.214458) 
row 2: (1, -0.378672)  (2, 0.978473)  (29, -0.280109)  (613, -0.319691) 
row 3: (3, 1.39941)  (243, -0.380074)  (356, -0.495972)  (586, -0.523363) 
row 4: (4, 1.2493)  (373, -0.395672)  (374, -0.483699)  (586, -0.369929) 
row 5: (5, 1.59209)  (152, -0.539957)  (552, -0.398528)  (598, -0.653603) 
row 6: (6, 1.79064)  (28, -0.447742)  (199, -0.78646)  (438, -0.556436) 
row 7: (7, 1.40524)  (286, -0.487208)  (351, -0.4958)  (599, -0.422234) 
row 8: (8, 1.49649)  (262, -0.535575)  (534, -0.519924)  (537, -0.440992) 
row 9: (9, 1.10868)  (241, -0.337346)  (422, -0.470138)  (655, -0.3012) 
row 10: (10, 1.00154)  (134, -0.40691)  (241, -0.306398)  (500, -0.288227) 
row 11: (11, 0.861142)  (12, -0.264454)  (95, -0.168608)  (246, -0.428079) 
row 12: (11, -0.264454)  (12, 0.879432)  (282, -0.188187)  (352, -0.42679) 
row 13: (13, 0.902902)  (14, -0.179082)  (400, -0.275291)  (401, -0.448529) 
row 14: (13, -0.179082)  (14, 0.457313)  (431, -0.278231) 
row 15: (15, 2.78997)  (16, -0.270308)  (670, -0.808443) 
row 16: (15, -0.270308)  (16, 1.30568)  (556, -0.37357)  (666, -0.661803) 
row 17: (17, 1.27409)  (187, -0.360834)  (281, -0.383368)  (346, -0.529886) 
row 18: (18, 1.52267)  (187, -0.482195)  (279, -0.357333)  (571, -0.68314) 
row 19: (19, 1.48167)  (78, -0.372553)  (159, -0.448394)  (619, -0.660719) 
row 20: (20, 1.21025)  (77, -0.401236)  (78, -0.412667)  (93, -0.396343) 
row 21: (21, 2.84586)  (388, -0.672657)  (610, -0.307095) 
row 22: (22, 1.20853)  (387, -0.411019)  (520, -0.432158)  (610, -0.365349) 
row 23: (23, 1.3156)  (155, -0.572481)  (411, -0.241807)  (425, -0.501314) 
row 24: (24, 0.967655)  (411, -0.37263)  (476, -0.283788)  (679, -0.311237) 
row 25: (25, 1.1475)  (64, -0.339341)  (545, -0.435811)  (606, -0.372351) 
row 26: (26, 1.18466)  (399, -0.35732)  (606, -0.457576)  (674, -0.369768) 
row 27: (27, 1.15548)  (437, -0.311099)  (438, -0.479688)  (590, -0.364696) 
row 28: (6, -0.447742)  (28, 1.64193)  (221, -0.618074)  (270, -0.576115) 
row 29: (2, -0.280109)  (29, 1.19477)  (181, -0.361013)  (332, -0.553652) 
row 30: (1, -0.214458)  (30, 1.05118)  (181, -0.381306)  (182, -0.455416) 
row 31: (31, 1.31951)  (200, -0.493074)  (209, -0.455915)  (297, -0.370519) 
row 32: (32, 1.06438)  (372, -0.367336)  (583, -0.290219)  (676, -0.406821) 
row 33: (33, 0.884402)  (34, -0.238531)  (81, -0.35666)  (233, -0.28921) 
row 34: (33, -0.238531)  (34, 1.14359)  (232, -0.51152)  (376, -0.393537) 
row 35: (35, 1.30114)  (36, -0.406996)  (126, -0.410899)  (534, -0.483241) 
row 36: (35, -0.406996)  (36, 1.4166)  (252, -0.486994)  (329, -0.522609) 
row 37: (37, 1.51552)  (180, -0.491036)  (266, -0.488933)  (356, -0.535555) 
row 38: (38, 1.45629)  (265, -0.522875)  (266, -0.477339)  (570, -0.456077) 
row 39: (39, 0.703639)  (465, -0.255961)  (518, -0.246977)  (662, -0.200701) 
row 40: (40, 1.22394)  (442, -0.314258)  (465, -0.338814)  (659, -0.570863) 
row 41: (0, -0.444765)  (41, 1.11078)  (211, -0.391871)  (551, -0.274148) 
row 42: (42, 1.45296)  (344, -0.479105)  (550, -0.570215)  (613, -0.403638) 
row 43: (43, 1.06737)  (44, -0.418663)  (55, -0.298151)  (295, -0.350558) 
row 44: (43, -0.418663)  (44, 1.35649)  (144, -0.44656)  (336, -0.491263) 
row 45: (45, 1.60197)  (378, -0.336361)  (435, -0.568776)  (581, -0.69683) 
row 46: (46, 1.58341)  (141, -0.468898)  (389, -0.679783)  (656, -0.434734) 
row 47: (47, 0.844078)  (239, -0.379299)  (264, -0.175491)  (349, -0.289289) 
row 48: (48, 1.01464)  (70, -0.441006)  (240, -0.249641)  (264, -0.323996) 
row 49: (49, 1.4)  (50, -0.443804)  (408, -0.512061)  (479, -0.444137) 
row 50: (49, -0.443804)  (50, 1.21582)  (296, -0.412221)  (560, -0.359796) 
row 51: (51, 0.959152)  (52, -0.242418)  (463, -0.296162)  (636, -0.420571) 
row 52: (51, -0.242418)  (52, 0.911375)  (201, -0.383791)  (623, -0.285166) 
row 53: (53, 1.1211)  (54, -0.388805)  (262, -0.405613)  (363, -0.326676) 
row 54: (53, -0.388805)  (54, 1.15049)  (195, -0.446867)  (587, -0.314818) 
row 55: (43, -0.298151)  (55, 0.998777)  (56, -0.269958)  (273, -0.430668) 
row 56: (55, -0.269958)  (56, 0.990532)  (320, -0.343014)  (561, -0.37756) 
row 57: (57, 1.12772)  (58, -0.265323)  (582, -0.513506)  (609, -0.348896) 
