Mat Object: (p_) 1 MPI process
  type: seqaij
row 0: (0, 2.)  (10, -0.454008)  (225, -1.09198)  (242, -0.454008) 
row 1: (1, 2.)  (226, -1.09199)  (227, -0.454009)  (241, -0.454008) 
row 2: (2, 2.)  (17, -0.454008)  (227, -1.09198)  (233, -0.454009) 
row 3: (3, 2.)  (5, -0.454008)  (228, -1.09198)  (229, -0.454008) 
row 4: (4, 2.)  (14, -0.454007)  (226, -0.45401)  (229, -1.09198) 
row 5: (3, -0.454008)  (5, 2.)  (15, -0.454008)  (230, -1.09198) 
row 6: (6, 2.)  (231, -1.09198)  (235, -0.454009)  (238, -0.454008) 
row 7: (7, 2.)  (10, -0.454008)  (11, -0.454008)  (232, -1.09198) 
row 8: (8, 2.)  (32, -0.454008)  (233, -1.09198)  (234, -0.454008) 
row 9: (9, 2.)  (17, -0.454008)  (19, -0.454008)  (234, -1.09198) 
row 10: (0, -0.454008)  (7, -0.454008)  (10, 2.)  (235, -1.09198) 
row 11: (7, -0.454008)  (11, 2.)  (225, -0.454008)  (236, -1.09198) 
row 12: (12, 2.)  (227, -0.454007)  (237, -1.09198)  (241, -0.454008) 
row 13: (13, 2.)  (33, -0.454008)  (69, -0.454008)  (238, -1.09198) 
row 14: (4, -0.454007)  (14, 2.)  (16, -0.454008)  (239, -1.09198) 
row 15: (5, -0.454008)  (15, 2.)  (240, -1.09198)  (262, -0.454008) 
row 16: (14, -0.454008)  (16, 2.)  (241, -1.09198)  (248, -0.454008) 
row 17: (2, -0.454008)  (9, -0.454008)  (17, 2.)  (242, -1.09198) 
row 18: (18, 2.)  (231, -0.454008)  (243, -1.09198)  (258, -0.454009) 
row 19: (9, -0.454008)  (19, 2.)  (225, -0.454008)  (244, -1.09198) 
row 20: (20, 2.)  (239, -0.454008)  (245, -1.09198)  (246, -0.454009) 
row 21: (21, 2.)  (22, -0.454008)  (74, -0.454008)  (246, -1.09198) 
row 22: (21, -0.454008)  (22, 2.)  (239, -0.454008)  (247, -1.09198) 
row 23: (23, 2.)  (52, -0.454008)  (247, -0.454008)  (248, -1.09198) 
row 24: (24, 2.)  (112, -0.454008)  (249, -1.09198)  (250, -0.454008) 
row 25: (25, 2.)  (35, -0.454008)  (250, -1.09198)  (307, -0.454009) 
row 26: (26, 2.)  (56, -0.454008)  (69, -0.454008)  (251, -1.09198) 
row 27: (27, 2.)  (236, -0.454008)  (251, -0.454008)  (252, -1.09198) 
row 28: (28, 2.)  (31, -0.454008)  (253, -1.09198)  (265, -0.454008) 
row 29: (29, 2.)  (55, -0.454008)  (254, -1.09198)  (265, -0.454008) 
row 30: (30, 2.)  (226, -0.454009)  (228, -0.454007)  (255, -1.09198) 
row 31: (28, -0.454008)  (31, 2.)  (252, -0.454008)  (256, -1.09198) 
row 32: (8, -0.454008)  (32, 2.)  (41, -0.454008)  (257, -1.09198) 
row 33: (13, -0.454008)  (33, 2.)  (258, -1.09198)  (259, -0.454009) 
row 34: (34, 2.)  (259, -1.09198)  (288, -0.454008)  (294, -0.454008) 
row 35: (25, -0.454008)  (35, 2.)  (237, -0.454008)  (260, -1.09198) 
row 36: (36, 2.)  (257, -0.454008)  (260, -0.454008)  (261, -1.09198) 
row 37: (37, 2.)  (38, -0.454008)  (262, -1.09198)  (268, -0.454008) 
row 38: (37, -0.454008)  (38, 2.)  (245, -0.454007)  (263, -1.09198) 
row 39: (39, 2.)  (66, -0.454007)  (246, -0.45401)  (264, -1.09198) 
row 40: (40, 2.)  (265, -1.09198)  (283, -0.454008)  (284, -0.454008) 
row 41: (32, -0.454008)  (41, 2.)  (266, -1.09198)  (279, -0.454008) 
row 42: (42, 2.)  (65, -0.454008)  (263, -0.454008)  (267, -1.09198) 
row 43: (43, 2.)  (267, -0.454008)  (268, -1.09198)  (311, -0.454008) 
row 44: (44, 2.)  (269, -1.09198)  (270, -0.454008)  (295, -0.454008) 
row 45: (45, 2.)  (67, -0.454008)  (270, -1.09198)  (271, -0.454008) 
row 46: (46, 2.)  (68, -0.454008)  (271, -1.09198)  (272, -0.454008) 
row 47: (47, 2.)  (64, -0.454008)  (259, -0.454009)  (272, -1.09198) 
row 48: (48, 2.)  (68, -0.454008)  (273, -1.09198)  (336, -0.454008) 
row 49: (49, 2.)  (50, -0.454008)  (179, -0.454008)  (274, -1.09198) 
row 50: (49, -0.454008)  (50, 2.)  (261, -0.454008)  (275, -1.09198) 
row 51: (51, 2.)  (276, -1.09198)  (277, -0.454008)  (300, -0.454008) 
row 52: (23, -0.454008)  (52, 2.)  (112, -0.454008)  (277, -1.09198) 
row 53: (53, 2.)  (54, -0.454008)  (257, -0.454008)  (278, -1.09198) 
row 54: (53, -0.454008)  (54, 2.)  (83, -0.454008)  (279, -1.09198) 
row 55: (29, -0.454008)  (55, 2.)  (279, -0.454008)  (280, -1.09198) 
row 56: (26, -0.454008)  (56, 2.)  (281, -1.09198)  (313, -0.454008) 
row 57: (57, 2.)  (63, -0.454008)  (282, -1.09198)  (294, -0.454008) 
row 58: (58, 2.)  (283, -1.09198)  (285, -0.454008)  (318, -0.454008) 
row 59: (59, 2.)  (106, -0.454008)  (284, -1.09198)  (285, -0.454008) 
row 60: (60, 2.)  (92, -0.454008)  (285, -1.09198)  (321, -0.454008) 
row 61: (61, 2.)  (62, -0.454008)  (78, -0.454008)  (286, -1.09198) 
row 62: (61, -0.454008)  (62, 2.)  (287, -1.09198)  (307, -0.454007) 
