Mat Object: (p_) 1 MPI process
  type: seqaij
row 0: (0, 1.28495)  (218, -0.59744)  (278, -0.319979)  (279, -0.367532) 
row 1: (1, 0.985916)  (246, -0.472343)  (278, -0.271323)  (283, -0.24225) 
row 2: (2, 0.582277)  (257, -0.293066)  (295, -0.0544328)  (312, -0.234778) 
row 3: (3, 0.955603)  (234, -0.484646)  (312, -0.118921)  (331, -0.352036) 
row 4: (4, 0.955604)  (275, -0.484647)  (348, -0.352036)  (366, -0.118921) 
row 5: (5, 0.582278)  (277, -0.293066)  (366, -0.234778)  (382, -0.0544328) 
row 6: (6, 0.985917)  (276, -0.472344)  (398, -0.24225)  (414, -0.271323) 
row 7: (7, 1.29624)  (19, -0.59744)  (409, -0.37882)  (410, -0.319979) 
row 8: (8, 0.985916)  (17, -0.472343)  (410, -0.271323)  (411, -0.24225) 
row 9: (9, 1.28318)  (274, -0.597441)  (414, -0.319979)  (429, -0.365758) 
row 10: (10, 0.582276)  (16, -0.293066)  (425, -0.0544325)  (441, -0.234778) 
row 11: (11, 0.955603)  (18, -0.484646)  (441, -0.118921)  (459, -0.352036) 
row 12: (12, 0.955603)  (227, -0.484646)  (514, -0.352036)  (515, -0.118921) 
row 13: (13, 0.582276)  (253, -0.293066)  (515, -0.234778)  (516, -0.0544325) 
row 14: (14, 0.985916)  (241, -0.472343)  (532, -0.24225)  (543, -0.271323) 
row 15: (15, 1.28261)  (210, -0.597441)  (542, -0.365195)  (543, -0.319979) 
row 16: (10, -0.293066)  (16, 0.506324)  (17, -0.15931)  (418, -0.0539487) 
row 17: (8, -0.472343)  (16, -0.15931)  (17, 0.699069)  (18, -0.0674165) 
row 18: (11, -0.484646)  (17, -0.0674165)  (18, 0.782051)  (19, -0.229989) 
row 19: (7, -0.59744)  (18, -0.229989)  (19, 0.963386)  (20, -0.135957) 
row 20: (19, -0.135957)  (20, 0.711852)  (21, -0.364013)  (459, -0.211882) 
row 21: (20, -0.364013)  (21, 0.907161)  (22, -0.153205)  (23, -0.389943) 
row 22: (21, -0.153205)  (22, 0.810974)  (24, -0.270096)  (469, -0.387673) 
row 23: (21, -0.389943)  (23, 1.04225)  (25, -0.491343)  (26, -0.160967) 
row 24: (22, -0.270096)  (24, 0.874999)  (26, -0.347626)  (27, -0.257277) 
row 25: (23, -0.491343)  (25, 1.37978)  (28, -0.455289)  (409, -0.433144) 
row 26: (23, -0.160967)  (24, -0.347626)  (26, 0.925549)  (29, -0.416955) 
row 27: (24, -0.257277)  (27, 1.28038)  (30, -0.446511)  (479, -0.576594) 
row 28: (25, -0.455289)  (28, 1.381)  (31, -0.374824)  (32, -0.550885) 
row 29: (26, -0.416955)  (29, 1.31575)  (31, -0.527034)  (33, -0.37176) 
row 30: (27, -0.446511)  (30, 1.70196)  (33, -0.666151)  (34, -0.589298) 
row 31: (28, -0.374824)  (29, -0.527034)  (31, 1.41896)  (35, -0.517099) 
row 32: (28, -0.550885)  (32, 1.6335)  (36, -0.477707)  (401, -0.604909) 
row 33: (29, -0.37176)  (30, -0.666151)  (33, 1.70894)  (37, -0.671024) 
row 34: (30, -0.589298)  (34, 1.98088)  (38, -0.698407)  (489, -0.693179) 
row 35: (31, -0.517099)  (35, 1.56401)  (39, -0.554756)  (40, -0.492152) 
row 36: (32, -0.477707)  (36, 1.58015)  (39, -0.529987)  (41, -0.572456) 
row 37: (33, -0.671024)  (37, 1.87638)  (40, -0.565048)  (42, -0.640303) 
row 38: (34, -0.698407)  (38, 1.97868)  (43, -0.569038)  (44, -0.711239) 
row 39: (35, -0.554756)  (36, -0.529987)  (39, 1.57397)  (45, -0.489232) 
row 40: (35, -0.492152)  (37, -0.565048)  (40, 1.59784)  (46, -0.540636) 
row 41: (36, -0.572456)  (41, 1.7336)  (47, -0.480839)  (393, -0.68031) 
row 42: (37, -0.640303)  (42, 1.91277)  (44, -0.694348)  (48, -0.578124) 
row 43: (38, -0.569038)  (43, 1.79778)  (49, -0.490956)  (499, -0.737783) 
row 44: (38, -0.711239)  (42, -0.694348)  (44, 1.88188)  (50, -0.476297) 
row 45: (39, -0.489232)  (45, 1.48951)  (51, -0.533786)  (52, -0.46649) 
row 46: (40, -0.540636)  (46, 1.68973)  (51, -0.581101)  (53, -0.567996) 
row 47: (41, -0.480839)  (47, 1.46318)  (52, -0.494822)  (54, -0.487518) 
row 48: (42, -0.578124)  (48, 1.68658)  (53, -0.583824)  (55, -0.524627) 
row 49: (43, -0.490956)  (49, 1.70989)  (56, -0.615623)  (57, -0.603315) 
row 50: (44, -0.476297)  (50, 1.23788)  (57, -0.380997)  (58, -0.380585) 
row 51: (45, -0.533786)  (46, -0.581101)  (51, 1.593)  (59, -0.478117) 
row 52: (45, -0.46649)  (47, -0.494822)  (52, 1.42908)  (60, -0.467764) 
row 53: (46, -0.567996)  (48, -0.583824)  (53, 1.64361)  (61, -0.491786) 
