Mat Object: (p_) 2 MPI processes
  type: mpiaij
row 0: (0, 1.28495)  (129, -0.59744)  (137, -0.319979)  (138, -0.367532) 
row 1: (1, 0.985916)  (135, -0.472343)  (137, -0.271323)  (142, -0.24225) 
row 2: (2, 0.582277)  (136, -0.293066)  (154, -0.0544328)  (168, -0.234778) 
row 3: (3, 0.955603)  (133, -0.484646)  (168, -0.118921)  (180, -0.352036) 
row 4: (4, 1.29624)  (11, -0.59744)  (225, -0.37882)  (226, -0.319979) 
row 5: (5, 0.985916)  (9, -0.472343)  (226, -0.271323)  (227, -0.24225) 
row 6: (6, 0.582276)  (8, -0.293066)  (233, -0.0544325)  (239, -0.234778) 
row 7: (7, 0.955603)  (10, -0.484646)  (239, -0.118921)  (247, -0.352036) 
row 8: (6, -0.293066)  (8, 0.506324)  (9, -0.15931)  (230, -0.0539487) 
row 9: (5, -0.472343)  (8, -0.15931)  (9, 0.699069)  (10, -0.0674165) 
row 10: (7, -0.484646)  (9, -0.0674165)  (10, 0.782051)  (11, -0.229989) 
row 11: (4, -0.59744)  (10, -0.229989)  (11, 0.963386)  (12, -0.135957) 
row 12: (11, -0.135957)  (12, 0.711852)  (13, -0.364013)  (247, -0.211882) 
row 13: (12, -0.364013)  (13, 0.907161)  (14, -0.153205)  (15, -0.389943) 
row 14: (13, -0.153205)  (14, 0.810974)  (16, -0.270096)  (252, -0.387673) 
row 15: (13, -0.389943)  (15, 1.04225)  (17, -0.491343)  (18, -0.160967) 
row 16: (14, -0.270096)  (16, 0.874999)  (18, -0.347626)  (19, -0.257277) 
row 17: (15, -0.491343)  (17, 1.37978)  (20, -0.455289)  (225, -0.433144) 
row 18: (15, -0.160967)  (16, -0.347626)  (18, 0.925549)  (21, -0.416955) 
row 19: (16, -0.257277)  (19, 1.28038)  (22, -0.446511)  (257, -0.576594) 
row 20: (17, -0.455289)  (20, 1.381)  (23, -0.374824)  (24, -0.550885) 
row 21: (18, -0.416955)  (21, 1.31575)  (23, -0.527034)  (25, -0.37176) 
row 22: (19, -0.446511)  (22, 1.70196)  (25, -0.666151)  (26, -0.589298) 
row 23: (20, -0.374824)  (21, -0.527034)  (23, 1.41896)  (27, -0.517099) 
row 24: (20, -0.550885)  (24, 1.6335)  (28, -0.477707)  (220, -0.604909) 
row 25: (21, -0.37176)  (22, -0.666151)  (25, 1.70894)  (29, -0.671024) 
row 26: (22, -0.589298)  (26, 1.98088)  (30, -0.698407)  (262, -0.693179) 
row 27: (23, -0.517099)  (27, 1.56401)  (31, -0.554756)  (32, -0.492152) 
row 28: (24, -0.477707)  (28, 1.58015)  (31, -0.529987)  (33, -0.572456) 
row 29: (25, -0.671024)  (29, 1.87638)  (32, -0.565048)  (34, -0.640303) 
row 30: (26, -0.698407)  (30, 1.97868)  (35, -0.569038)  (36, -0.711239) 
row 31: (27, -0.554756)  (28, -0.529987)  (31, 1.57397)  (37, -0.489232) 
row 32: (27, -0.492152)  (29, -0.565048)  (32, 1.59784)  (38, -0.540636) 
row 33: (28, -0.572456)  (33, 1.7336)  (39, -0.480839)  (215, -0.68031) 
row 34: (29, -0.640303)  (34, 1.91277)  (36, -0.694348)  (40, -0.578124) 
row 35: (30, -0.569038)  (35, 1.79778)  (41, -0.490956)  (267, -0.737783) 
row 36: (30, -0.711239)  (34, -0.694348)  (36, 1.88188)  (42, -0.476297) 
row 37: (31, -0.489232)  (37, 1.48951)  (43, -0.533786)  (44, -0.46649) 
row 38: (32, -0.540636)  (38, 1.68973)  (43, -0.581101)  (45, -0.567996) 
row 39: (33, -0.480839)  (39, 1.46318)  (44, -0.494822)  (46, -0.487518) 
row 40: (34, -0.578124)  (40, 1.68658)  (45, -0.583824)  (47, -0.524627) 
