Mat Object: (p_) 2 MPI processes
  type: mpiaij
row 0: (0, 2.)  (3, -0.454008)  (115, -1.09198)  (240, -0.454008) 
row 1: (1, 2.)  (117, -1.09198)  (119, -0.454009)  (121, -0.454008) 
row 2: (2, 2.)  (3, -0.454008)  (4, -0.454008)  (118, -1.09198) 
row 3: (0, -0.454008)  (2, -0.454008)  (3, 2.)  (119, -1.09198) 
row 4: (2, -0.454008)  (4, 2.)  (115, -0.454008)  (120, -1.09198) 
row 5: (5, 2.)  (13, -0.454008)  (32, -0.454008)  (121, -1.09198) 
row 6: (6, 2.)  (117, -0.454008)  (122, -1.09198)  (129, -0.454009) 
row 7: (7, 2.)  (115, -0.454008)  (123, -1.09198)  (346, -0.454008) 
row 8: (8, 2.)  (23, -0.454008)  (32, -0.454008)  (124, -1.09198) 
row 9: (9, 2.)  (120, -0.454008)  (124, -0.454008)  (125, -1.09198) 
row 10: (10, 2.)  (12, -0.454008)  (126, -1.09198)  (131, -0.454008) 
row 11: (11, 2.)  (22, -0.454008)  (127, -1.09198)  (131, -0.454008) 
row 12: (10, -0.454008)  (12, 2.)  (125, -0.454008)  (128, -1.09198) 
row 13: (5, -0.454008)  (13, 2.)  (129, -1.09198)  (130, -0.454009) 
row 14: (14, 2.)  (130, -1.09198)  (144, -0.454008)  (148, -0.454008) 
row 15: (15, 2.)  (131, -1.09198)  (141, -0.454008)  (142, -0.454008) 
row 16: (16, 2.)  (132, -1.09198)  (152, -0.454008)  (255, -0.454008) 
row 17: (17, 2.)  (133, -1.09198)  (134, -0.454008)  (149, -0.454008) 
row 18: (18, 2.)  (30, -0.454008)  (134, -1.09198)  (135, -0.454008) 
row 19: (19, 2.)  (31, -0.454008)  (135, -1.09198)  (136, -0.454008) 
row 20: (20, 2.)  (29, -0.454008)  (130, -0.454009)  (136, -1.09198) 
row 21: (21, 2.)  (31, -0.454008)  (137, -1.09198)  (172, -0.454008) 
row 22: (11, -0.454008)  (22, 2.)  (138, -1.09198)  (261, -0.454008) 
row 23: (8, -0.454008)  (23, 2.)  (139, -1.09198)  (154, -0.454008) 
row 24: (24, 2.)  (28, -0.454008)  (140, -1.09198)  (148, -0.454008) 
row 25: (25, 2.)  (141, -1.09198)  (143, -0.454008)  (159, -0.454008) 
row 26: (26, 2.)  (51, -0.454008)  (142, -1.09198)  (143, -0.454008) 
row 27: (27, 2.)  (42, -0.454008)  (143, -1.09198)  (162, -0.454008) 
row 28: (24, -0.454008)  (28, 2.)  (144, -1.09198)  (170, -0.454008) 
row 29: (20, -0.454008)  (29, 2.)  (144, -0.454008)  (145, -1.09198) 
row 30: (18, -0.454008)  (30, 2.)  (146, -1.09198)  (147, -0.454008) 
row 31: (19, -0.454008)  (21, -0.454008)  (31, 2.)  (147, -1.09198) 
row 32: (5, -0.454008)  (8, -0.454008)  (32, 2.)  (148, -1.09198) 
row 33: (33, 2.)  (37, -0.454008)  (146, -0.454008)  (149, -1.09198) 
row 34: (34, 2.)  (138, -0.454008)  (150, -1.09198)  (389, -0.454008) 
row 35: (35, 2.)  (50, -0.454008)  (145, -0.454008)  (151, -1.09198) 
row 36: (36, 2.)  (58, -0.454008)  (78, -0.454008)  (152, -1.09198) 
row 37: (33, -0.454008)  (37, 2.)  (152, -0.454008)  (153, -1.09198) 
row 38: (38, 2.)  (39, -0.454008)  (40, -0.454008)  (154, -1.09198) 
row 39: (38, -0.454008)  (39, 2.)  (52, -0.454008)  (155, -1.09198) 
row 40: (38, -0.454008)  (40, 2.)  (41, -0.454008)  (156, -1.09198) 
row 41: (40, -0.454008)  (41, 2.)  (155, -0.454008)  (157, -1.09198) 
row 42: (27, -0.454008)  (42, 2.)  (158, -1.09198)  (161, -0.454008) 
row 43: (43, 2.)  (44, -0.454008)  (159, -1.09198)  (162, -0.454008) 
row 44: (43, -0.454008)  (44, 2.)  (157, -0.454008)  (160, -1.09198) 
row 45: (45, 2.)  (46, -0.454008)  (161, -1.09198)  (193, -0.454008) 
row 46: (45, -0.454008)  (46, 2.)  (47, -0.454008)  (162, -1.09198) 
row 47: (46, -0.454008)  (47, 2.)  (160, -0.454008)  (163, -1.09198) 
row 48: (48, 2.)  (145, -0.454008)  (164, -1.09198)  (166, -0.454009) 
row 49: (49, 2.)  (56, -0.454008)  (164, -0.454008)  (165, -1.09198) 
row 50: (35, -0.454008)  (50, 2.)  (74, -0.454008)  (166, -1.09198) 
row 51: (26, -0.454008)  (51, 2.)  (158, -0.454008)  (167, -1.09198) 
row 52: (39, -0.454008)  (52, 2.)  (139, -0.454008)  (168, -1.09198) 
row 53: (53, 2.)  (140, -0.454008)  (168, -0.454008)  (169, -1.09198) 
row 54: (54, 2.)  (169, -0.454008)  (170, -1.09198)  (180, -0.454008) 
row 55: (55, 2.)  (147, -0.454008)  (171, -1.09198)  (172, -0.454008) 
row 56: (49, -0.454008)  (56, 2.)  (172, -1.09198)  (218, -0.454008) 
row 57: (57, 2.)  (78, -0.454008)  (173, -1.09198)  (446, -0.454008) 
row 58: (36, -0.454008)  (58, 2.)  (173, -0.454008)  (174, -1.09198) 
row 59: (59, 2.)  (111, -0.454008)  (171, -0.454008)  (175, -1.09198) 
row 60: (60, 2.)  (111, -0.454008)  (176, -1.09198)  (195, -0.454008) 
row 61: (61, 2.)  (103, -0.454008)  (104, -0.454008)  (177, -1.09198) 
row 62: (62, 2.)  (73, -0.454008)  (166, -0.454009)  (178, -1.09198) 
row 63: (63, 2.)  (177, -0.454008)  (179, -1.09198)  (207, -0.454008) 
row 64: (64, 2.)  (85, -0.454008)  (105, -0.454008)  (180, -1.09198) 
row 65: (65, 2.)  (167, -0.454008)  (181, -1.09198)  (295, -0.454008) 
row 66: (66, 2.)  (182, -1.09198)  (199, -0.454008)  (227, -0.454008) 
row 67: (67, 2.)  (70, -0.454008)  (158, -0.454008)  (183, -1.09198) 
row 68: (68, 2.)  (75, -0.454008)  (157, -0.454008)  (184, -1.09198) 
row 69: (69, 2.)  (184, -0.454008)  (185, -1.09198)  (223, -0.454008) 
row 70: (67, -0.454008)  (70, 2.)  (186, -1.09198)  (203, -0.454008) 
row 71: (71, 2.)  (109, -0.454008)  (185, -0.454008)  (187, -1.09198) 
row 72: (72, 2.)  (77, -0.454008)  (187, -0.454008)  (188, -1.09198) 
row 73: (62, -0.454008)  (73, 2.)  (189, -1.09198)  (190, -0.454008) 
row 74: (50, -0.454008)  (74, 2.)  (190, -1.09198)  (220, -0.454008) 
row 75: (68, -0.454008)  (75, 2.)  (191, -1.09198)  (215, -0.454008) 
row 76: (76, 2.)  (186, -0.454008)  (192, -1.09198)  (229, -0.454008) 
row 77: (72, -0.454008)  (77, 2.)  (192, -0.454008)  (193, -1.09198) 
row 78: (36, -0.454008)  (57, -0.454008)  (78, 2.)  (305, -1.09198) 
row 79: (79, 2.94767)  (194, -1.25232)  (195, -0.520672) 
row 80: (80, 2.94767)  (81, -0.520672)  (195, -1.25232) 
row 81: (80, -0.520672)  (81, 2.227)  (196, -1.25232)  (226, -0.454008) 
row 82: (82, 2.227)  (174, -0.454008)  (197, -1.25232)  (217, -0.520672) 
row 83: (83, 2.227)  (173, -0.454008)  (197, -0.520672)  (198, -1.25232) 
row 84: (84, 1.40298)  (199, -0.990972)  (215, -0.412011) 
row 85: (64, -0.454008)  (85, 1.89899)  (99, -0.454008)  (200, -0.990972) 
row 86: (86, 1.89899)  (96, -0.454008)  (201, -0.990972)  (229, -0.454008) 
row 87: (87, 1.85699)  (105, -0.454008)  (200, -0.412011)  (202, -0.990972) 
row 88: (88, 1.36099)  (114, -0.370013)  (203, -0.990972) 
row 89: (89, 1.89899)  (183, -0.454008)  (203, -0.454008)  (204, -0.990972) 
row 90: (90, 1.36099)  (204, -0.370013)  (205, -0.990972) 
row 91: (91, 1.89899)  (93, -0.454008)  (206, -0.990972)  (228, -0.454008) 
row 92: (92, 2.94767)  (104, -0.520672)  (207, -1.25232) 
row 93: (91, -0.454008)  (93, 2.)  (189, -0.454008)  (208, -1.09198) 
row 94: (94, 2.94767)  (207, -0.520672)  (209, -1.25232) 
row 95: (95, 1.85699)  (100, -0.412011)  (184, -0.454008)  (210, -0.990972) 
row 96: (86, -0.454008)  (96, 2.)  (97, -0.454008)  (211, -1.09198) 
row 97: (96, -0.454008)  (97, 1.85699)  (110, -0.412011)  (212, -0.990972) 
row 98: (98, 1.74552)  (201, -0.412011)  (212, -0.412011)  (213, -0.9215) 
row 99: (85, -0.454008)  (99, 1.89899)  (112, -0.454008)  (214, -0.990972) 
row 100: (95, -0.412011)  (100, 1.40298)  (215, -0.990972) 
row 101: (101, 2.)  (102, -0.454008)  (174, -0.454008)  (216, -1.09198) 
row 102: (101, -0.454008)  (102, 2.227)  (196, -0.520672)  (217, -1.25232) 
row 103: (61, -0.454008)  (103, 2.)  (194, -0.454008)  (218, -1.09198) 
row 104: (61, -0.454008)  (92, -0.520672)  (104, 2.227)  (219, -1.25232) 
row 105: (64, -0.454008)  (87, -0.454008)  (105, 2.)  (220, -1.09198) 
row 106: (106, 1.85699)  (190, -0.454008)  (202, -0.412011)  (221, -0.990972) 
row 107: (107, 1.85699)  (189, -0.454008)  (206, -0.412011)  (222, -0.990972) 
row 108: (108, 1.36099)  (210, -0.370013)  (223, -0.990972) 
row 109: (71, -0.454008)  (109, 1.89899)  (224, -0.990972)  (225, -0.454008) 
row 110: (97, -0.412011)  (110, 1.40298)  (225, -0.990972) 
row 111: (59, -0.454008)  (60, -0.454008)  (111, 2.)  (226, -1.09198) 
row 112: (99, -0.454008)  (112, 2.)  (180, -0.454008)  (227, -1.09198) 
row 113: (113, 2.)  (228, -1.09198) 
row 114: (88, -0.370013)  (114, 1.36099)  (229, -0.990972) 
row 115: (0, -1.09198)  (4, -0.454008)  (7, -0.454008)  (115, 2.) 
row 116: (116, 2.)  (122, -0.454008)  (133, -0.454008)  (344, -1.09198) 
row 117: (1, -1.09198)  (6, -0.454008)  (117, 2.)  (232, -0.454008) 
row 118: (2, -1.09198)  (118, 2.)  (121, -0.454008)  (124, -0.454008) 
row 119: (1, -0.454009)  (3, -1.09198)  (119, 2.)  (247, -0.454009) 
row 120: (4, -1.09198)  (9, -0.454008)  (120, 2.)  (126, -0.454008) 
row 121: (1, -0.454008)  (5, -1.09198)  (118, -0.454008)  (121, 2.) 
row 122: (6, -1.09198)  (116, -0.454008)  (122, 2.)  (134, -0.454008) 
row 123: (7, -1.09198)  (123, 2.)  (126, -0.454008)  (127, -0.454008) 
row 124: (8, -1.09198)  (9, -0.454008)  (118, -0.454008)  (124, 2.) 
row 125: (9, -1.09198)  (12, -0.454008)  (125, 2.)  (154, -0.454008) 
row 126: (10, -1.09198)  (120, -0.454008)  (123, -0.454008)  (126, 2.) 
row 127: (11, -1.09198)  (123, -0.454008)  (127, 2.)  (254, -0.454008) 
row 128: (12, -1.09198)  (128, 2.)  (141, -0.454008)  (156, -0.454008) 
row 129: (6, -0.454009)  (13, -1.09198)  (129, 2.)  (135, -0.454007) 
row 130: (13, -0.454009)  (14, -1.09198)  (20, -0.454009)  (130, 2.) 
row 131: (10, -0.454008)  (11, -0.454008)  (15, -1.09198)  (131, 2.) 
row 132: (16, -1.09198)  (132, 2.)  (149, -0.454008)  (362, -0.454008) 
