 
 The following non-default controls are used:
 ============================================
 controls%general%material: AIR
 controls%boundaries%family_fam(Wall)%useWallFunction: NO
 controls%boundaries%family_fam(FreeSlip)%turbulence: eddyVisc
 controls%boundaries%family_fam(Inflow)%checkFlux: false
 controls%boundaries%family_fam(Inflow)%turbulence: eddyVisc
 controls%boundaries%family_fam(Outflow)%turbulence: eddyVisc
 controls%gridquality%saveMetrics: apply_correction_f_c
 controls%outerLoop%convergenceToleranceLinf:  1.000000E+09
 controls%outerLoop%convergenceToleranceL2:  1.000000E-11
 controls%massMomentumSolver%AndersonAcceleration%apply: true
 controls%massMomentumSolver%AndersonAcceleration%frequency:         1
 controls%equations%equation(mom)%EQMomentum%solve_z: false
 controls%equations%equation(mom)%maxIteration:       500
 controls%equations%equation(mom)%convectiveFluxDiscretisation: KAPPA_SCHEME
 controls%equations%equation(mom)%convectiveFluxDiscretisation%KAPPA_SCHEME%schemeName: QUICK
 controls%equations%equation(mom)%limitEccentricityCorrection: false
 controls%equations%equation(mom)%userSource: true
 controls%equations%equation(mom)%EQMomentum%saveSkinFriction: false
 controls%equations%equation(pres)%solver%PETSC%solver: GMRES
 controls%equations%equation(pres)%userSource: true
 controls%equations%equation(turb)%EQTurbulence%turbulenceModel: SPALART_ALLMARAS
 controls%equations%equation(turb)%convergenceTolerance:  1.000000E-01
 controls%equations%equation(turb)%maxIteration:         0
 controls%equations%equation(turb)%EQTurbulence%relaxEddyViscosity:  0.000000E+00
 controls%equations%equation(turb)%EQTurbulence%stagnationRegionCorrection: NONE
 controls%equations%equation(turb)%convectiveFluxDiscretisation: KAPPA_SCHEME
 controls%equations%equation(turb)%convectiveFluxDiscretisation%KAPPA_SCHEME%schemeName: QUICK
 controls%equations%equation(turb)%limitEccentricityCorrection: false
 controls%equations%equation(turb)%userSource: true
 controls%equations%equation(turb)%saveResidual: true
 controls%equations%equation(turb)%EQTurbulence%initialization: USER_DEFINED
 controls%developer%faceInterpolation_nearwallCorrection:  1.000000E+07
 controls%developer%faceInterpolation_check_projectednodes: true
 controls%developer%warnForInefficientCellsPerCore: false
 
 

 OuterLoop  VelocityX  VelocityY  VelocityZ   Pressure    TurbNut
 ============================================================================================================================
        1  5.722E-03  6.411E-03  0.000E+00  6.040E-05  0.000E+00
        2  1.430E-03  1.611E-03  0.000E+00  4.869E-05  0.000E+00
        3  1.080E-03  1.216E-03  0.000E+00  3.890E-05  0.000E+00
        4  8.168E-04  9.186E-04  0.000E+00  3.348E-05  0.000E+00
        5  6.201E-04  6.965E-04  0.000E+00  3.023E-05  0.000E+00
        6  4.736E-04  5.314E-04  0.000E+00  2.792E-05  0.000E+00
        7  3.656E-04  4.099E-04  0.000E+00  2.607E-05  0.000E+00
        8  1.486E-04  1.615E-04  0.000E+00  2.845E-05  0.000E+00
        9  1.501E-04  1.569E-04  0.000E+00  2.547E-05  0.000E+00
       10  1.396E-04  1.546E-04  0.000E+00  2.011E-05  0.000E+00
       11  1.268E-04  1.471E-04  0.000E+00  2.063E-05  0.000E+00
       12  1.316E-04  1.460E-04  0.000E+00  1.966E-05  0.000E+00
       13  1.239E-04  1.433E-04  0.000E+00  1.817E-05  0.000E+00
       14  1.152E-04  1.411E-04  0.000E+00  1.783E-05  0.000E+00
       15  1.169E-04  1.439E-04  0.000E+00  1.609E-05  0.000E+00
       16  1.117E-04  1.417E-04  0.000E+00  1.564E-05  0.000E+00
       17  1.085E-04  1.391E-04  0.000E+00  1.618E-05  0.000E+00
       18  1.066E-04  1.359E-04  0.000E+00  1.723E-05  0.000E+00
       19  1.061E-04  1.323E-04  0.000E+00  1.644E-05  0.000E+00
       20  1.082E-04  1.316E-04  0.000E+00  1.307E-05  0.000E+00
       21  9.951E-05  1.288E-04  0.000E+00  1.274E-05  0.000E+00
       22  1.008E-04  1.268E-04  0.000E+00  1.245E-05  0.000E+00
       23  9.682E-05  1.242E-04  0.000E+00  1.260E-05  0.000E+00
       24  9.351E-05  1.199E-04  0.000E+00  1.420E-05  0.000E+00
       25  9.507E-05  1.184E-04  0.000E+00  1.273E-05  0.000E+00
       26  8.929E-05  1.164E-04  0.000E+00  1.064E-05  0.000E+00
       27  8.430E-05  1.131E-04  0.000E+00  9.855E-06  0.000E+00
       28  8.121E-05  1.100E-04  0.000E+00  9.334E-06  0.000E+00
