Mat Object: (p_) 2 MPI processes
  type: mpiaij
row 0: (0, 1.15159)  (1, -0.427427)  (19, -0.444765)  (277, -0.279403) 
row 1: (0, -0.427427)  (1, 1.02056)  (2, -0.378672)  (14, -0.214458) 
row 2: (1, -0.378672)  (2, 0.978473)  (13, -0.280109)  (308, -0.319691) 
row 3: (3, 1.39941)  (127, -0.380074)  (183, -0.495972)  (293, -0.523363) 
row 4: (4, 1.2493)  (192, -0.395672)  (193, -0.483699)  (293, -0.369929) 
row 5: (5, 1.59209)  (78, -0.539957)  (279, -0.398528)  (301, -0.653603) 
row 6: (6, 1.40524)  (146, -0.487208)  (181, -0.4958)  (302, -0.422234) 
row 7: (7, 1.48167)  (36, -0.372553)  (85, -0.448394)  (488, -0.660719) 
row 8: (8, 1.21025)  (35, -0.401236)  (36, -0.412667)  (49, -0.396343) 
row 9: (9, 1.3156)  (81, -0.572481)  (208, -0.241807)  (216, -0.501314) 
row 10: (10, 1.27227)  (208, -0.37263)  (238, -0.483524)  (339, -0.416117) 
row 11: (11, 1.1475)  (32, -0.339341)  (272, -0.435811)  (306, -0.372351) 
row 12: (12, 1.18466)  (201, -0.35732)  (306, -0.457576)  (336, -0.369768) 
row 13: (2, -0.280109)  (13, 1.19477)  (96, -0.361013)  (172, -0.553652) 
row 14: (1, -0.214458)  (14, 1.05118)  (96, -0.381306)  (97, -0.455416) 
row 15: (15, 0.884402)  (16, -0.238531)  (39, -0.35666)  (125, -0.28921) 
row 16: (15, -0.238531)  (16, 1.14359)  (124, -0.51152)  (195, -0.393537) 
row 17: (17, 1.51552)  (95, -0.491036)  (134, -0.488933)  (183, -0.535555) 
row 18: (18, 1.45629)  (133, -0.522875)  (134, -0.477339)  (290, -0.456077) 
row 19: (0, -0.444765)  (19, 1.11078)  (113, -0.391871)  (278, -0.274148) 
row 20: (20, 1.45296)  (180, -0.479105)  (277, -0.570215)  (308, -0.403638) 
row 21: (21, 1.06737)  (22, -0.418663)  (27, -0.298151)  (149, -0.350558) 
row 22: (21, -0.418663)  (22, 1.35649)  (72, -0.44656)  (174, -0.491263) 
row 23: (23, 1.38724)  (24, -0.443596)  (205, -0.499727)  (241, -0.443915) 
row 24: (23, -0.443596)  (24, 1.21561)  (150, -0.412221)  (284, -0.359796) 
row 25: (25, 0.9274)  (26, -0.235418)  (235, -0.290127)  (320, -0.401855) 
row 26: (25, -0.235418)  (26, 0.894976)  (106, -0.378688)  (312, -0.280869) 
row 27: (21, -0.298151)  (27, 0.998777)  (28, -0.269958)  (137, -0.430668) 
row 28: (27, -0.269958)  (28, 0.990532)  (163, -0.343014)  (285, -0.37756) 
row 29: (29, 0.930016)  (64, -0.371546)  (71, -0.31106)  (76, -0.24741) 
row 30: (30, 0.923491)  (76, -0.387355)  (165, -0.344163)  (221, -0.191973) 
row 31: (31, 1.10976)  (128, -0.395419)  (272, -0.430499)  (319, -0.283839) 
row 32: (11, -0.339341)  (32, 0.901708)  (237, -0.343853)  (287, -0.218513) 
row 33: (33, 0.980964)  (138, -0.389871)  (174, -0.267704)  (316, -0.32339) 
row 34: (34, 1.09904)  (56, -0.294237)  (164, -0.432093)  (174, -0.372707) 
row 35: (8, -0.401236)  (35, 1.25146)  (67, -0.345598)  (681, -0.504625) 
row 36: (7, -0.372553)  (8, -0.412667)  (36, 1.27633)  (121, -0.491114) 
row 37: (37, 1.27989)  (38, -0.383992)  (126, -0.39923)  (308, -0.496672) 
row 38: (37, -0.383992)  (38, 1.2373)  (51, -0.429068)  (89, -0.424239) 
row 39: (15, -0.35666)  (39, 1.13085)  (40, -0.355351)  (167, -0.418837) 
row 40: (39, -0.355351)  (40, 1.10567)  (112, -0.381074)  (114, -0.369243) 
row 41: (41, 0.992902)  (206, -0.142105)  (322, -0.407709)  (323, -0.443088) 
row 42: (42, 0.991106)  (206, -0.399411)  (239, -0.250379)  (324, -0.341316) 
row 43: (43, 0.712308)  (109, -0.199924)  (113, -0.318434)  (175, -0.19395) 
row 44: (44, 1.23752)  (109, -0.478406)  (176, -0.530138)  (189, -0.228973) 
row 45: (45, 0.895193)  (73, -0.311499)  (113, -0.217375)  (313, -0.366319) 
row 46: (46, 1.42502)  (73, -0.403804)  (143, -0.453686)  (253, -0.567529) 
row 47: (47, 1.43883)  (48, -0.31596)  (219, -0.463601)  (327, -0.659266) 
row 48: (47, -0.31596)  (48, 1.32485)  (247, -0.638534)  (248, -0.370353) 
row 49: (8, -0.396343)  (49, 1.19219)  (158, -0.374868)  (169, -0.420981) 
row 50: (50, 1.26418)  (145, -0.33807)  (289, -0.391237)  (297, -0.534874) 
row 51: (38, -0.429068)  (51, 1.28774)  (186, -0.417424)  (302, -0.441253) 
row 52: (52, 1.47551)  (116, -0.51512)  (187, -0.484141)  (301, -0.476253) 
row 53: (53, 1.77077)  (187, -0.592896)  (279, -0.546912)  (565, -0.630958) 
row 54: (54, 1.463)  (74, -0.495065)  (199, -0.493549)  (200, -0.474385) 
row 55: (55, 1.23278)  (61, -0.416757)  (74, -0.515001)  (269, -0.301024) 
row 56: (34, -0.294237)  (56, 1.00289)  (316, -0.293379)  (577, -0.415274) 
row 57: (57, 1.40528)  (155, -0.482267)  (223, -0.456289)  (306, -0.466721) 
